"","format(time, ""%Y-%m"")","energy_type","sum_energy"
"600","2017-05","generation.hydro.run.of.river.and.poundage",694732
"601","2017-05","generation.hydro.water.reservoir",1219875
"602","2017-05","generation.marine",0
"603","2017-05","generation.nuclear",4137563
"604","2017-05","generation.other",38850
"605","2017-05","generation.other.renewable",71979
"606","2017-05","generation.solar",1339239
"607","2017-05","generation.waste",217262
"608","2017-05","generation.wind.offshore",0
"609","2017-05","generation.wind.onshore",3743736
"610","2017-06","generation.biomass",489570
"611","2017-06","generation.fossil.brown.coal.lignite",344744
"612","2017-06","generation.fossil.coal.derived.gas",0
"613","2017-06","generation.fossil.gas",5179882
"614","2017-06","generation.fossil.hard.coal",3665630
"615","2017-06","generation.fossil.oil",215563
"616","2017-06","generation.fossil.oil.shale",0
"617","2017-06","generation.fossil.peat",0
"618","2017-06","generation.geothermal",0
"619","2017-06","generation.hydro.pumped.storage.aggregated",0
"620","2017-06","generation.hydro.pumped.storage.consumption",259542
"621","2017-06","generation.hydro.run.of.river.and.poundage",567103
"622","2017-06","generation.hydro.water.reservoir",1043024
"623","2017-06","generation.marine",0
"624","2017-06","generation.nuclear",4365979
"625","2017-06","generation.other",38900
